FullPath;Package;Element;Property;DependentPackage;DependendElement
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ClassCharacteristic;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ClassCharacteristics;LC_GeographicalAspects
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ClassCharacteristic;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ClassCharacteristics;LC_SurfaceCharacteristic
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ClassCharacteristic;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ClassCharacteristics;LC_Climate
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ClassCharacteristic;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ClassCharacteristics;LC_LandForm
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ClassCharacteristic;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ClassCharacteristics;LC_TopographicalAspects
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ClassCharacteristic;describedBy;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverDescriptor
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_Element;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_Element
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_Element;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ElementCharacteristics;LC_LandCoverElementCharacteristic
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_Element;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_Vegetation;LC_VegetationElement
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_Element;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_Stratum
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_Element;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_Abiotic;LC_AbioticElement
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ElementRelationInSameStratum;presenceType;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_ElementPresenceType
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ElementRelationInSameStratum;temporalType;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_SequentialTemporalRelationshipType
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_ElementRelationInSameStratum;lengthOfTemporalRelationship;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ValueObjectTypes;LC_PermittedPosRealRange
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_HorizontalPattern;patternType;ISO TC211.ISO 19103 Conceptual schema language.ISO/TS 19103 Edition 1.Basic Types.Primitive.Text;CharacterString
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_HorizontalPattern;patternCoverPercentage;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ValueObjectTypes;LC_PermittedPercentageValue
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_HorizontalPattern;patternOccurrence;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_ValueObjectTypes;LC_PermittedPercentageValue
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_HorizontalPattern;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_Stratum
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_HorizontalPattern;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverDescriptor
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_InterStrataRelationship;presenceType;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_StratumPresenceType
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_InterStrataRelationship;onTop;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_OnTopType
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverClass;classificationSystem;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverClassificationSystem
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverClass;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverDescriptor
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverClass;;ISO TC211.ISO 19144 Classification systems.ISO 19144-1 Edition 1;CL_LegendClass
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverClassificationSystem;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverClassificationSystemMetaLanguage
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverClassificationSystem;classificationSystemClass;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverClass
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverClassificationSystemMetaLanguage;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverClassificationSystem
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverClassificationSystemMetaLanguage;landCoverClassDescription;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_LandCoverDescriptor
ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1;LC_LandCoverClassStructure;LC_LandCoverDescriptor;;ISO TC211.ISO 19144 Classification systems.ISO 19144-2 Edition 1.LC_LandCoverClassStructure;LC_HorizontalPattern
