FullPath;Package;Element;Property;DependentPackage;DependendElement
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;deploymentReason;ISO TC211.ISO 19103 Conceptual schema language.ISO 19103 Edition 1.Primitive types.Text;CharacterString
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;deploymentTime;ISO TC211.ISO 19108 Temporal schema.ISO 19108 Edition 1.Temporal Objects;TM_Object
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;metadata;ISO TC211.ISO 19103 Conceptual schema language.ISO 19103 Edition 1.Any type;Any
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;observer;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Observer
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;relatedObservation;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Observation
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Deployment
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Basic Observations;Deployment
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractDeployment;host;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Host
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractHost;;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Host
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractHost;;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Basic Observations;Host
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractHost;relatedObservation;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Observation
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractHost;relatedHost;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Host
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractHost;deployment;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Deployment
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractHost;metadata;ISO TC211.ISO 19103 Conceptual schema language.ISO 19103 Edition 1.Any type;Any
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractObservableProperty;relatedObservation;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Observation
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractObservableProperty;;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;ObservableProperty
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractObservableProperty;metadata;ISO TC211.ISO 19103 Conceptual schema language.ISO 19103 Edition 1.Any type;Any
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractObservableProperty;;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Basic Observations;ObservableProperty
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractObservableProperty;observer;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Conceptual Observation schema;Observer
ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2;Abstract Observation core;AbstractObservation;;ISO TC211.ISO 19156 Observations and measurements.ISO AWI 19156 Edition 2.Basic Samples;Sample
