FullPath;Package;Element;Property;DependentPackage;DependendElement
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;calibrationType;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1.MicrowaveRadiometerSensor;CA_CalibrationType
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-3 Edition 1;CA_SARSensor
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-1 Edition 1.19159;CA_OpticalSensors
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-1 Edition 1.19159;MD_CoverageDescription
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1.MicrowaveRadiometerSensor;CA_MicrowaveRadiometerSensor
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-1 Edition 1.19159;CA_Target
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-1 Edition 1.19159;CA_Radiation
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_CalibrationValidation;;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-1 Edition 1.19159;CA_PhotoFlight
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_MicrowaveRadiometerSensor;receiverType;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1.MicrowaveRadiometerSensor;CA_ReceiverType
ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1;MicrowaveRadiometerSensor;CA_MicrowaveRadiometerSensor;geometricPosition;ISO TC211.ISO 19159 Calibration and validation of remote sensing imagery sensors and data.ISO 19159-4 Edition 1.GeometricPosition;CA_GeometricPosition
